CID,password,Firstname,Lastname,gender,BDate,City
1,dyA8cDiq,Arno,Taylor,male,1982-02-17,New Taipei
2,rF_dGcZK,Elsie,Wilson,female,2004-08-05,Kaoshiung
3,1vHZWtiO,Guy,Roy,male,2002-07-26,Hsinchu
4,JibZBWnH,Archibald,Anderson,male,1984-03-30,New Taipei
5,XJtLpvLU,Norma,Jones,female,1984-11-13,Taichung
6,JqGfcRv7,Joy,Wilson,female,1991-12-12,Taichung
7,YIHwd2tg,Jocelyn,Taylor,female,1988-03-21,Taichung
8,wTPR-SNw,Hunter,Roberts,male,1986-04-30,Tainan
9,PtRarXrl,Meredith,Johnson,female,1971-08-29,Taipei
10,NYqguqMo,Bonnie,Thomas,female,1971-02-03,Tainan
11,Bo7OVfTy,Lena,Williams,female,1979-07-15,Hsinchu
12,TX-5HWtl,Stan,Jones,male,1983-03-08,Tainan
13,WgokySAZ,Amelia,Williams,female,1972-07-04,Hsinchu
14,7TXBAH6X,Pamela,Evans,female,1989-07-09,Hsinchu
15,9zarQQQL,Carol,Taylor,female,1971-05-11,Taichung
16,6KtFx0d2,Ernest,O'Kelly,male,1971-04-19,Tainan
17,ndQ3QtC2,Ronald,Taylor,male,1971-10-28,Tainan
18,D4kgAgjx,Maria,Smith,female,1979-01-21,Kaoshiung
19,cWdLHi88,Hulda,Smith,female,1996-01-24,Tainan
20,hYG64IPo,Andrea,Taylor,female,1974-05-10,Taipei
21,zgE4FxOe,Dylan,Anderson,male,1996-01-17,Tainan
22,2Rpiqid-,Marlon,Wilson,male,1974-06-07,Taichung
23,1K0UIySn,Kent,Wilson,male,1992-07-16,Kaoshiung
24,-rgT_O_Q,Josephine,Taylor,female,1981-07-18,Hsinchu
25,QRa_k1eH,Jesse,Martin,male,2009-09-02,Taipei
26,uDbSHnPc,Grace,Smith,female,1976-06-07,Hsinchu
27,si8Fda4W,Sebastiane,Smith,female,1984-08-05,Taipei
28,so9L521b,Leila,Evans,female,2007-10-03,Kaoshiung
29,N8Nwc3AX,Xanthe,Rodriguez,female,1973-05-02,Taichung
30,7BZ7iT3X,Madge,Williams,female,1979-02-24,Tainan
31,PhsdSR_K,Ellis,Wilson,male,1972-01-27,Taichung
32,9b2MUl3x,Antonia,Williams,female,1999-07-01,Kaoshiung
33,dg62dyGg,Rein,O'Brien,male,1987-10-14,Kaoshiung
34,KDQcVDHN,Blanche,Smith,female,2006-10-26,Kaoshiung
35,HBMIXMWQ,Edison,Murphy,male,1991-08-12,Kaoshiung
36,4aL2ME5y,Dale,O'Brien,female,1999-03-21,Tainan
37,XT9_4xdw,Angela,Tremblay,female,2009-09-21,New Taipei
38,3d1UVKgd,Vivian,Gelbero,male,1990-01-18,Taipei
39,IBkezzf0,Riva,Li,female,1996-01-15,Taipei
40,3e0vd6lM,Jordan,Rodriguez,male,1974-08-09,Kaoshiung
41,Cb3eY1Mr,Myron,Gagnon,male,1997-02-05,Hsinchu
42,Ex3Y6-fL,Calista,O'Brien,female,1982-12-22,Hsinchu
43,b5qgCWYX,Augustine,Singh,male,1999-01-05,Taipei
44,WB3-wgKA,Odelette,Williams,female,1989-06-02,Tainan
45,bJ20D4ZU,Breenda,Smith,female,1995-02-22,Kaoshiung
46,Iqwz4bPI,Hilda,Lee,female,2002-04-01,Tainan
47,xnz1S1FX,Berton,Lee,male,2000-04-04,Hsinchu
48,8QiCsnVN,Astor,Garcia,male,1973-08-10,New Taipei
49,DISD0WuZ,Constance,Roy,female,2009-12-31,Taipei
50,zWBPoFzA,Edwiin,Walsh,male,2009-06-09,Kaoshiung
51,kX9Gm3i1,Norma,Singh,female,1994-10-24,Tainan
52,SCQFBrX7,Tara,Brown,female,1982-04-28,Taichung
53,seJkTtAM,Abraham,Brown,male,1994-10-04,Taichung
54,9k55-Ogp,Lou,Wilson,male,1997-08-08,Tainan
55,9raQ2XTI,Tom,Walsh,male,1978-04-15,Tainan
56,Cne6uxbt,Faith,O'Neill,female,1975-07-29,New Taipei
57,_PR_yrVU,Beverly,Smith,female,2002-06-11,Hsinchu
58,BsGMR8v-,Pearl,Wilson,female,1993-11-02,Tainan
59,i6itxhxo,Wendy,Martin,female,2007-01-28,New Taipei
60,Mrd_aMvY,Clare,Lee,male,2007-02-06,Tainan
61,0XI8G0QI,Tess,O'Neill,female,1996-10-14,Tainan
62,SdxvVyHN,Karen,Taylor,female,1994-01-30,Taichung
63,ANLGHcGR,Michaelia,Jones,female,1995-09-11,New Taipei
64,5-f9U4no,Sibyl,Morton,female,1998-01-23,New Taipei
65,SeBYV_A_,Cara,Johnson,female,1998-10-12,Hsinchu
66,YR66Xk-y,Sabina,Smith,female,1998-12-29,Taipei
67,5Ih89Qpv,Natalie,Rodriguez,female,2007-11-18,Taichung
68,I-4n3HaE,Diana,Williams,female,2002-01-23,Hsinchu
69,-7xoQH0x,Tabitha,Williams,female,1985-04-07,Taichung
70,8mV5f0P3,Dempsey,Taylor,male,1999-08-10,Taichung
71,48E_mcmn,Zara,Jones,female,1979-02-01,Taichung
72,VelgxY9C,Natividad,Williams,female,1996-02-26,Taipei
73,-sp4kIJm,Catherine,Roberts,female,1981-07-13,Hsinchu
74,rtv67eW7,Hugo,O'Connor,male,1976-06-16,New Taipei
75,DXvvaGmM,Lindsay,Williams,female,2002-11-23,Taichung
76,CTi6uV63,Samantha,Murphy,female,2001-11-04,Taipei
77,9TEkXmyp,Max,Walsh,male,2005-06-11,Taipei
78,QDZdN40b,Winfred,Wang,male,2008-07-05,Tainan
79,pBinsh2z,Ronald,Roy,male,2001-10-12,Taipei
80,aiBwUr28,Ted,Rodriguez,male,2005-10-19,Taipei
81,IeeBYd7V,Rex,Miller,male,1990-04-09,Hsinchu
82,GaW6avSE,Poppy,Brown,female,1976-08-06,Tainan
83,aUJ8CQzw,Ingrid,Lam,female,2008-07-01,Taipei
84,qwxChBUx,Wilbert,Rodriguez,male,1971-07-29,Taipei
85,5H7Rc0pu,Suzanne,Byrne,female,1996-08-28,New Taipei
86,PQNvQUM_,Cliff,Murphy,male,2001-08-25,Hsinchu
87,_nPyvlnS,Wanda,Brown,female,1992-07-10,Taichung
88,liuUPzWl,Jane,Smith,female,1984-08-20,Taichung
89,ifv3jf9x,Sabrina,Taylor,female,1986-03-28,Tainan
90,SpQ5BIzs,Angelo,Smith,male,1989-08-03,Taipei
91,Zwi6UT_D,Harriet,Taylor,male,1986-03-02,Taichung
92,W-oISj2_,Goddard,O'Ryan,male,2005-03-13,Kaoshiung
93,Or6AuzNd,Bernie,Li,male,1998-04-26,New Taipei
94,0oqhA6z7,Eugene,Smith,male,1986-07-26,Taipei
95,isa5yZ0r,Yuri,Jones,female,1987-11-23,Taichung
96,0-p8h29l,Kama,O'Brien,female,1971-12-23,Taichung
97,nCT1qPP_,Jay,Roy,male,1994-05-25,Taipei
98,jPzOnGPD,Alani,Garcia,female,1979-12-23,Tainan
99,OOPKej7M,Candance,Brown,female,1997-11-11,Taichung
100,66GFQ-RG,Sally,Smith,female,1972-08-07,Taipei
