CID,password,Firstname,Lastname,Gender,BDate,City
1,5nZezypC,Godfery,Wilson,M,1989-06-24,Taipei
2,XhS0dVJk,Una,Wilson,F,1997-07-02,Hsinchu
3,MC_9SmE7,Rose,Thomas,F,1975-04-16,Kaoshiung
4,cerc7rce,Glenn,Smith,M,1993-10-08,Taichung
5,DygEA0H1,Armin,Taylor,M,1983-04-06,Taipei
6,jeUZSDbv,Denise,Anderson,F,1999-02-12,Taichung
7,KSJN0NHg,Byron,Jones,M,1983-01-13,New Taipei
8,bLGVt6D4,Yuri,Gagnon,F,1990-12-21,Hsinchu
9,VoTfUgdg,Nelly,Brown,F,1989-02-05,Tainan
10,L1Z9HeYy,Susan,Smith,F,2002-11-10,New Taipei
11,6kzqZwjI,Chance,Walsh,M,1972-06-25,Taichung
12,FKXdj8HR,Killian,Williams,M,1977-07-23,New Taipei
13,IYTtqgKv,Sampson,O'Connor,M,1991-07-10,Tainan
14,g2miPp4Z,Gregary,Williams,M,1992-10-01,Hsinchu
15,OnfyfALP,Robert,Taylor,M,1993-06-27,Taipei
16,oB2KY4iI,Lyndon,Martin,M,1974-02-09,Taichung
17,wKqwegwm,Aubrey,Roberts,M,1983-03-14,Hsinchu
18,qT5dxarQ,Blake,Smith,M,1982-01-27,Taipei
19,vda6iAqD,Griselda,Tremblay,F,1973-06-19,New Taipei
20,aaYGZ7hC,Anila,Smith,F,1973-02-23,Taipei
21,3fEipWqQ,Liz,Singh,F,1999-01-23,Hsinchu
22,cnTs4471,Gina,Roberts,F,2002-05-18,Taipei
23,gtejjn_y,Dick,O'Brien,M,1981-04-25,Tainan
24,8o9AaYg4,Apphia,Evans,F,2009-11-11,Kaoshiung
25,vBq-4k8C,Blake,Garcia,M,1999-04-25,Kaoshiung
26,S0oHUf_N,Hedy,Taylor,F,1984-06-22,New Taipei
27,k6F1XlPI,Ford,Jones,M,2000-05-14,Tainan
28,P7Lwex3x,Philip,Lam,M,1999-11-24,Hsinchu
29,uuvxSvm_,Malcolm,Davis,M,2004-07-10,Hsinchu
30,h5RjN4Q9,Violet,Davies,F,1974-06-12,Taichung
31,tey-NVNo,Beau,Brown,M,2005-02-17,Kaoshiung
32,DdtZPwzd,Phoebe,Taylor,F,1998-10-04,Taichung
33,L_0oiPs4,Reg,Li,M,2006-10-12,Kaoshiung
34,Ua70WZL4,Angus,Brown,M,1976-03-05,Taipei
35,tSp0_0-n,Bennett,Smith,M,2009-12-26,New Taipei
36,tiB0fqiI,Prima,Smith,F,2007-05-30,Hsinchu
37,DZaskDWB,Esther,Williams,F,2002-04-05,New Taipei
38,0bcdKb8O,Viola,Wilson,F,1982-05-10,Taipei
39,RhgKujK-,Elijah,Jones,M,2008-01-14,Taichung
40,Emh1xiQ2,Emma,Gagnon,F,2003-07-10,Taichung
41,6YVWLpgN,Rupert,Lam,M,1993-09-02,Tainan
42,E6_o-HYZ,Caesar,Lam,M,1976-01-21,Taichung
43,E_1jSecM,Royal,Jones,M,2006-03-06,New Taipei
44,M4vU8ZLL,Tracy,O'Brien,F,1972-10-17,Taichung
45,AkRSoSrL,Jill,Taylor,F,1986-10-20,New Taipei
46,HmwxabHf,Maxwell,Roy,M,1979-05-27,Kaoshiung
47,BpYpJQgs,Fay,Brown,F,1984-10-15,Kaoshiung
48,GTWckfD9,Elvira,White,F,2003-10-25,Taipei
49,eqdhHYhD,Earnest,Anderson,M,1990-06-24,Tainan
50,9cCZWWGL,Taylor,Wilson,M,1987-01-25,Taipei
51,#NAME?,Sherry,Taylor,F,1998-08-05,Kaoshiung
52,v1rCaMgG,Cornelius,Lam,M,1985-10-03,Taichung
53,NCC5ATbw,Rose,Johnson,F,1996-09-21,Kaoshiung
54,cgqJmDf0,Norma,Martin,F,1997-10-14,Kaoshiung
55,uXDCvgys,Alani,Gagnon,F,1972-07-11,New Taipei
56,mLGzS8IV,Joanne,Taylor,F,2002-08-16,Hsinchu
57,u-yZfIt1,Glenn,Roberts,M,1986-07-22,New Taipei
58,AYmHcPoT,Eldred,Anderson,M,1986-10-15,New Taipei
59,TULdqdA-,Mona,Li,F,1980-08-18,Taipei
60,YNcvVoDh,Grace,Anderson,F,1984-06-08,Taipei
61,q23Dy4yf,Alvin,Martin,M,1997-02-07,Taichung
62,GOMwO7Qx,Killian,Smith,M,1977-08-13,Taipei
63,RL7-Pr-U,Kimberley,Garcia,F,1999-03-30,Tainan
64,DOOMngEi,Wendell,Wilson,M,1996-02-25,Kaoshiung
65,L26PVBi5,Jocelyn,Li,F,1997-04-18,Taichung
66,pcNPhqFE,Alisa,Wang,F,1986-01-14,Tainan
67,ASDcxbn6,Sigrid,Jones,F,2003-03-21,Taichung
68,VHJR26Yt,Yvette,Rodriguez,F,2002-03-12,Kaoshiung
69,Ew4RiqME,Eric,Tremblay,M,2001-12-22,Tainan
70,Og2qKjLY,Verna,Martin,F,1984-05-24,Kaoshiung
71,dDu8x3Hd,Grace,Brown,F,1985-10-20,Kaoshiung
72,W-YWHWvs,Blanche,O'Neill,F,2001-01-17,Tainan
73,AvlDsa0R,Kate,Davies,F,1971-10-21,Taichung
74,aRJMrKST,Letitia,Brown,F,1990-02-12,Taipei
75,pLAO9n1c,Meroy,Singh,F,2001-07-17,Tainan
76,gEyWO5aK,Bella,White,F,1977-07-08,Tainan
77,w09hm1O6,Omar,Brown,M,2003-01-13,Kaoshiung
78,NWiMrwKB,Vera,Wilson,F,1997-08-25,New Taipei
79,FPjlmFrx,Delbert,Brown,M,2000-10-26,Hsinchu
80,9m81lnSC,Suzanne,Jones,F,1974-10-12,Kaoshiung
81,WLe4_0Ih,Royal,Jones,M,1974-03-25,New Taipei
82,Lkoy2SHP,Angela,Williams,F,1989-01-08,Kaoshiung
83,R4PMrsur,Myrna,Wilson,F,2000-01-13,New Taipei
84,PLhXcptD,Belen,Davis,F,1999-07-15,Tainan
85,#NAME?,Levi,Smith,M,1997-11-23,Kaoshiung
86,uuvqqmQl,Tracy,Wilson,M,1972-05-19,Taichung
87,#NAME?,Bennett,Walsh,M,1997-10-07,Taipei
88,q_i_DnMf,Coral,Taylor,F,2009-11-24,Hsinchu
89,W-p9PuIT,Christ,Brown,M,2007-08-16,Tainan
90,OohpHvA6,Alexis,Smith,M,2006-03-22,Taipei
91,rjP_uQLK,Megan,Johnson,F,1993-05-16,Taichung
92,tol40fZu,Ophelia,Walsh,F,1998-08-08,Kaoshiung
93,qmfGX-Z9,Andrea,Li,F,1982-06-18,Taipei
94,7UceVPDM,Joanna,Evans,F,1985-11-16,Taipei
95,Zvu6bG1B,Hilary,Wilson,M,1981-10-01,Hsinchu
96,qq-eQCry,Julie,Morton,F,2007-02-18,Taichung
97,mDkTxD_u,Antonia,White,F,1981-01-01,Taipei
98,cXvQe4iy,Polly,Anderson,F,1993-09-18,Hsinchu
99,tJuJicpD,Mary,Garcia,F,2007-11-17,Hsinchu
100,upQvBJ8C,Wayne,O'Brien,M,1998-09-19,Tainan
